bulgarian_word,russian_translation,example_sentence
Огън,Огонь,Гори огън.
Песен,Песня,Хубава песен.
Работа,Работа,Отивам на работа.
Сирене,Сыр,Бяло сирене.
Телефон,Телефон,Звъни телефонът.
Усмивка,Улыбка,Красива усмивка.
Фар,Маяк,Морски фар.
Хора,Люди,Много хора.
Цена,Цена,Висока цена.
Чанта,Сумка,Нося тежка чанта.
Шапка,Шапка,Зимна шапка.
Щъркел,Аист,Видях щъркел.
Юг,Юг,Отивам на юг.
Януари,Январь,Студен януари.
Болка,Боль,Силна болка.
Вана,Ванна,Голяма вана.
Грешка,Ошибка,Направих грешка.
Дъжд,Дождь,Вали дъжд.
Елен,Олень,Видях елен.
Жажда,Жажда,Имам жажда.
Змия,Змея,Страх ме е от змии.
Изход,Выход,Къде е изходът?
Карта,Карта,Карта на България.
Летище,Аэропорт,Отивам на летището.
Мост,Мост,Дълъг мост.
Новини,Новости,Гледам новини.
Обувки,Обувь,Нови обувки.
Пазар,Рынок,Отивам на пазар.
Раница,Рюкзак,Нося раница.
Сватба,Свадьба,Весела сватба.
Торта,Торт,Вкусна торта.
Училище,Школа,Отивам на училище.
Фабрика,Фабрика,Стара фабрика.
Хотел,Отель,Хубав хотел.
Църква,Церковь,Стара църква.
Чиния,Тарелка,Сложих чиния на масата.
Шоколад,Шоколад,Обичам шоколад.
Щит,Щит,Силен щит.
Юни,Июнь,Месец юни.
Ято,Стая птиц,Ято птици.
Балон,Шарик,Червен балон.
Вятър,Ветер,Духа вятър.
Гост,Гость,Имам гост.
Дъга,Радуга,Виждам дъга.
Ехо,Эхо,Чувам ехо.
Жичка,Проводок,Тънка жичка.
Звук,Звук,Силен звук.
Истина,Истина,Кажи ми истината.
Камък,Камень,Твърд камък.
Лекар,Врач,Отивам на лекар.
Морков,Морковь,Ям морков.
Награда,Награда,Голяма награда.
Обич,Любовь,Чиста обич.
Парк,Парк,Отивам в парка.
Риба,Рыба,Плува риба.
Скала,Скала,Висока скала.
Тишина,Тишина,Пълна тишина.
Утро,Утро,Добро утро.
Фотограф,Фотограф,Добър фотограф.
Хълм,Холм,Зелен хълм.
Цирк,Цирк,Отивам на цирк.
Чадър,Зонт,Вземи чадър.
Шкаф,Шкаф,Дървен шкаф.
Щора,Жалюзи,Спусни щорите.
Юнак,Герой,Смел юнак.
Ясла,Ясли,Детска ясла.
Бира,Пиво,Студена бира.
Вино,Вино,Червено вино.
Грозде,Виноград,Сладко грозде.
Дарба,Талант,Голяма дарба.
Екип,Команда,Силен екип.
Жътва,Жатва,Време за жътва.
Зърно,Зерно,Златно зърно.
Изпит,Экзамен,Труден изпит.
Капак,Крышка,Затвори капака.
Лодка,Лодка,Малка лодка.
Музика,Музыка,Слушам музика.
Надежда,Надежда,Имам надежда.
Огледало,Зеркало,Гледам се в огледалото.
Покрив,Крыша,Здрав покрив.
Радост,Радость,Голяма радост.
Свобода,Свобода,Искам свобода.
Танц,Танец,Красив танц.
Успех,Успех,Желая ти успех.
Флаг,Флаг,Български флаг.
Храм,Храм,Стар храм.
Цар,Царь,Български цар.
Чудо,Чудо,Стана чудо.
Шах,Шахматы,Играя шах.
Щедър,Щедрый,Той е щедър.
Ювелир,Ювелир,Майстор ювелир.
Ясен,Ясень,Високо дърво ясен.
